Date,Open,High,Low,Close,Volume
2020-01-02,4.19,4.19,4.096,4.096,5400
2020-01-03,4.415,4.415,4.0815,4.12,29200
2020-01-06,4.245,4.37,4.0935,4.15,87200
2020-01-07,4.37,4.475,4.115,4.115,69400
2020-01-08,4.185,4.245,4.155,4.185,9000
2020-01-09,4.2165,4.31,4.2,4.21,21000
2020-01-10,4.27,4.39,4.27,4.365,15600
2020-01-13,4.475,4.475,4.3,4.3,13800
2020-01-14,4.25,4.4475,4.25,4.31,9200
2020-01-15,4.325,4.325,4.265,4.295,10000
2020-01-16,4.27,4.3375,4.26,4.3375,19600
2020-01-17,4.365,4.455,4.255,4.29,9600
2020-01-21,4.4,4.4,4.115,4.17,8600
2020-01-22,4.14,4.1445,4.115,4.14,13800
2020-01-23,4.2095,4.2095,4.175,4.185,4800
2020-01-24,4.1875,4.1875,4.1,4.11,10400
2020-01-27,4.125,4.257,4.09,4.09,7800
2020-01-28,4.146,4.173,3.735,3.925,22600
2020-01-29,4.0,4.04,3.87,4.04,10000
2020-01-30,3.985,4.045,3.885,3.965,7000
2020-01-31,3.9505,4.0145,3.9,3.98,8200
2020-02-03,4.75,4.75,3.925,4.04,9000
2020-02-04,4.06,4.4825,4.06,4.115,8800
2020-02-05,4.235,4.395,4.155,4.395,3000
2020-02-06,4.315,4.44,4.24,4.3805,4200
2020-02-07,4.475,4.5,4.3,4.42,29200
2020-02-10,4.51,4.515,4.35,4.35,8200
2020-02-11,4.2795,4.324,4.26,4.32,3400
2020-02-12,4.4675,4.4675,4.25,4.435,5400
2020-02-13,4.395,4.395,4.27,4.35,10200
2020-02-14,4.3725,4.445,4.295,4.36,5000
2020-02-18,4.375,4.595,4.375,4.575,31600
2020-02-19,4.55,4.683,4.295,4.515,25800
2020-02-20,4.42,4.45,4.3765,4.45,4000
2020-02-21,4.465,4.664,4.464,4.4685,9400
2020-02-24,4.59,4.745,4.495,4.575,12600
2020-02-25,4.58,4.6785,4.5,4.585,39600
2020-02-26,4.566,4.595,4.535,4.55,5800
2020-02-27,4.545,4.73,4.405,4.73,31800
2020-02-28,4.75,4.75,4.295,4.605,46400
2020-03-02,4.675,4.675,4.5105,4.5105,3600
2020-03-03,4.535,4.595,4.46,4.49,22000
2020-03-04,4.495,4.4965,4.39,4.48,7400
2020-03-05,4.37,4.5,4.37,4.415,4400
2020-03-06,4.37,4.54,4.37,4.5,10600
2020-03-09,4.275,4.89,4.275,4.64,55200
2020-03-10,4.755,4.755,4.515,4.53,20200
2020-03-11,4.525,4.705,4.525,4.6075,10600
2020-03-12,4.5,4.5,4.06,4.33,30000
2020-03-13,4.4245,4.515,3.8725,4.44,45200
2020-03-16,4.315,4.635,4.225,4.635,36000
2020-03-17,4.6,4.6,4.3,4.4,34600
2020-03-18,4.555,4.765,4.3,4.39,20800
2020-03-19,4.5975,4.87,4.305,4.5075,29600
2020-03-20,4.55,4.5935,3.885,4.03,209600
2020-03-23,4.29,4.725,4.075,4.725,123400
2020-03-24,4.85,5.795,4.825,4.95,110000
2020-03-25,4.85,5.23,4.582,4.95,113200
2020-03-26,5.0,6.445,5.0,6.0,90800
2020-03-27,5.68,6.345,5.68,6.125,59800
2020-03-30,6.21,6.27,5.865,5.98,36600
2020-03-31,6.065,6.37,5.685,6.14,38200
2020-04-01,6.11,6.536,6.0175,6.065,38600
2020-04-02,6.27,6.49,5.78,6.075,82800
2020-04-03,6.175,6.6,6.15,6.415,82800
2020-04-06,6.505,7.124,6.505,6.775,88800
2020-04-07,7.045,7.305,6.505,6.665,43000
2020-04-08,6.665,6.955,6.65,6.68,53600
2020-04-09,6.995,6.995,6.27,6.645,59800
2020-04-13,6.38,7.015,6.38,6.705,60400
2020-04-14,6.675,7.06,6.34,6.55,79800
2020-04-15,6.445,6.895,6.445,6.79,58800
2020-04-16,7.015,7.015,6.52,6.85,223600
2020-04-17,7.015,7.145,6.66,6.66,54000
2020-04-20,6.43,6.92,6.26,6.865,24000
2020-04-21,6.64,6.87,6.64,6.845,7600
2020-04-22,6.665,6.9475,6.665,6.85,24800
2020-04-23,6.98,7.1,6.78,6.97,32400
2020-04-24,7.035,7.1,6.955,7.075,32400
2020-04-27,7.075,7.175,6.905,7.045,41000
2020-04-28,7.2375,7.5,7.075,7.255,62800
2020-04-29,7.495,7.975,7.2305,7.3725,68600
2020-04-30,7.275,7.6,7.2025,7.395,43400
2020-05-01,7.345,8.335,7.155,7.475,41000
2020-05-04,7.5,7.8575,7.11,7.16,145400
2020-05-05,7.17,7.45,6.63,6.875,135000
2020-05-06,6.925,7.2975,6.78,7.03,39400
2020-05-07,7.46,7.575,6.945,7.025,57200
2020-05-08,8.51,8.7775,7.635,7.635,212200
2020-05-11,7.94,8.16,7.795,8.0,106400
2020-05-12,8.25,8.299,7.95,8.0050001,74800
2020-05-13,7.95,8.31,7.95,8.025,52600
2020-05-14,8.4,8.4,7.91,8.09,39000
2020-05-15,7.98,8.345,7.98,8.2,27000
2020-05-18,8.265,8.275,7.76,8.05,37400
