Date,Open,High,Low,Close,Volume
2020-01-02,32.61,32.998,32.478,32.981,44858000
2020-01-03,32.678,32.986,32.553,32.59,38069000
2020-01-06,32.312,33.636,32.12,33.583,56631000
2020-01-07,33.647,33.67,33.029999,33.075001,47032000
2020-01-08,33.149,34.27,33.105,33.926,71045000
2020-01-09,34.2,34.342,33.461,33.566,47093000
2020-01-10,33.713,33.85,32.727,32.905,47183000
2020-01-13,33.18,34.084999,33.151,33.892,62900000
2020-01-14,34.44,34.538,33.552,33.869,71994000
2020-01-15,33.868,34.317,33.66,33.907,51580000
2020-01-16,34.35,34.356,33.585,33.862,50160000
2020-01-17,34.099998,34.157,33.738,33.967,60665000
2020-01-21,34.0,34.099998,33.259,33.811,143503000
2020-01-22,33.255,33.63,32.36,32.6,217300000
2020-01-23,32.604,34.988,32.501,34.96,182003000
2020-01-24,34.846,35.985,34.588,35.316,179397000
2020-01-27,34.595,35.19,34.102,34.288,77095000
2020-01-28,34.588,35.24,34.278,34.852,68216000
2020-01-29,34.9,34.94,33.855,34.316,76435000
2020-01-30,34.11,34.82,33.925,34.774,53281000
2020-01-31,34.739,34.739,34.098,34.509,52300000
2020-02-03,34.724,35.963,34.628,35.8,66706000
2020-02-04,36.099998,36.957,35.61,36.901,71615000
2020-02-05,37.513,37.525,36.23,36.967,64370000
2020-02-06,36.96,37.155,36.251,36.695,39204000
2020-02-07,36.504,37.18,36.357,36.677,43852000
2020-02-10,36.5,37.48,36.252,37.107,52941000
2020-02-11,37.375,37.811,36.972,37.369,47729000
2020-02-12,37.718,38.062,37.588,38.00099945,46248000
2020-02-13,37.696,38.537,37.651,38.14,44854000
2020-02-14,38.147,38.515,37.943,38.040001,37363000
2020-02-18,37.93,38.954,37.919,38.778,51739000
2020-02-19,38.812,39.295,38.49,38.619,48964000
2020-02-20,38.656,38.97,37.668,38.6,40794000
2020-02-21,38.533,38.732,37.79,38.007,39301000
2020-02-24,36.476,37.282,36.099998,36.87,69364000
2020-02-25,37.2,37.565,35.772,36.0089989,64812000
2020-02-26,36.631,38.2,36.5,37.924,89341000
2020-02-27,37.146,39.156,37.060001,37.171,109677000
