Date,Open,High,Low,Close,Volume
2022-01-03,1051.0,1067.0,986.0,1057.0,2734
2022-01-04,1044.0,1055.0,995.0,1034.0,2418
2022-01-05,1017.0,1054.0,960.0,984.0,2385
2022-01-06,995.0,998.0,892.79999,948.0,2334
2022-01-07,940.0,960.0,871.0,886.0,2103
2022-01-10,866.0,949.0,825.0,934.0,2275
2022-01-11,936.0,947.0,891.0,918.0,1429
2022-01-12,909.0,939.0,878.0,882.0,841
2022-01-13,887.0,989.0,874.29999,989.0,1271
2022-01-14,980.0,1102.0,959.0,1092.0,2923
2022-01-18,1112.0,1220.0,1000.0,1018.0,4821
2022-01-19,1018.0,1130.0,1018.0,1072.0,617
2022-01-20,1125.0,1175.0,1013.0,1016.0,2141
2022-01-21,985.0,1017.0,851.0,899.0,4117
2022-01-24,855.0,939.40002,855.0,934.0,985
2022-01-25,921.0,921.0,829.90002,881.0,1331
2022-01-26,883.0,897.5,805.0,821.0,1342
2022-01-27,812.0,1115.0,804.0,1080.0,10761
2022-01-28,1020.0,1062.0,941.0,988.0,2792
2022-01-31,999.0,1136.0,981.0,1136.0,1435
2022-02-01,1118.0,1163.5,1067.0,1133.0,1635
2022-02-02,1119.0,1205.0,1111.0,1189.0,976
2022-02-03,1184.0,1245.0,1033.90002,1044.0,2991
2022-02-04,1055.0,1141.0,1020.0,1113.0,909
2022-02-07,1116.0,1123.0,1000.0,1002.0,1005
2022-02-08,1000.0,1044.0,1000.0,1038.0,440
2022-02-09,1044.0,1069.099976,980.0,999.0,1547
2022-02-10,965.0,1087.5,965.0,1018.0,6077
2022-02-11,1014.0,1014.0,932.0,954.0,2336
2022-02-14,931.0,994.0,912.29999,965.0,1454
2022-02-15,992.0,1004.0,948.20001,963.0,537
2022-02-16,944.0,972.0,854.0,878.0,2114
2022-02-17,872.0,895.5,710.0,808.0,2521
2022-02-18,803.0,839.0,630.0,659.0,1928
2022-02-22,644.0,644.0,487.0,498.0,1927
2022-02-23,493.0,568.0,453.10001,500.0,2174
2022-02-24,455.0,548.0,401.0,548.0,3057
2022-02-25,548.0,619.0,526.0,573.0,707
2022-02-28,555.0,604.0,513.0,536.0,615
2022-03-01,537.0,579.0,406.0,418.0,3316
2022-03-02,449.0,495.0,440.0,467.0,922
2022-03-03,467.0,481.0,424.0,449.0,867
2022-03-04,459.0,581.0,430.0,548.0,10439
2022-03-07,537.0,537.0,412.0,431.0,1895
2022-03-08,412.0,481.0,412.0,451.0,821
2022-03-09,479.0,485.0,410.0,425.0,2174
2022-03-10,425.0,427.60001,366.0,382.0,4387
2022-03-11,383.0,387.0,365.0,383.0,800
2022-03-14,375.0,410.0,340.0,400.0,1413
2022-03-15,405.0,405.0,359.5,374.0,969
2022-03-16,376.0,395.0,340.0,344.0,1558
2022-03-17,361.0,385.0,324.0,360.0,2741
2022-03-18,377.0,386.60001,348.0,348.0,3208
2022-03-21,373.0,378.0,332.70001,353.0,2725
2022-03-22,360.0,439.0,360.0,394.0,3354
2022-03-23,439.0,439.0,395.0,403.0,3130
2022-03-24,405.0,414.0,365.0,368.0,1460
2022-03-25,376.0,402.0,344.5,349.0,2792
2022-03-28,352.0,376.0,328.5,366.0,5213
2022-03-29,372.0,382.0,325.0,337.0,5003
2022-03-30,343.0,344.0,325.0,326.0,1224
2022-03-31,326.0,327.0,303.0,321.0,1196
2022-04-01,324.0,344.0,315.0,318.0,1803
2022-04-04,325.0,350.0,319.0,339.0,1117
2022-04-05,347.0,347.0,312.0,315.0,1218
2022-04-06,312.0,329.0,308.0,325.0,432
2022-04-07,315.39999,343.0,308.0,335.0,634
2022-04-08,335.0,335.0,315.20001,327.0,363
2022-04-11,326.0,347.0,314.0,333.0,2404
2022-04-12,336.0,367.0,326.0,351.89999,5722
2022-04-13,347.0,347.0,313.0,325.0,2195
2022-04-14,322.0,332.0,295.0,301.0,1868
2022-04-18,300.0,300.0,277.0,279.0,1738
2022-04-19,289.0,316.0,282.0,297.0,1759
2022-04-20,293.0,308.79999,293.0,303.0,352
2022-04-21,303.0,308.0,274.0,287.0,628
2022-04-22,299.0,299.0,280.0,281.0,469
2022-04-25,290.0,290.0,275.0,282.0,348
2022-04-26,279.0,303.0,276.0,291.0,400
2022-04-27,299.0,299.0,255.5,262.0,1326
2022-04-28,266.0,280.0,236.5,248.0,1161
2022-04-29,227.0,248.0,214.0,219.0,1351
2022-05-02,225.0,225.0,210.0,220.0,1593
2022-05-03,226.0,235.5,218.0,231.0,552
2022-05-04,238.0,257.0,224.0,256.0,1083
2022-05-05,237.0,244.8,192.0,197.0,2677
2022-05-06,395.0,450.0,281.0,299.0,954450
2022-05-09,267.0,268.0,206.0,215.0,40780
2022-05-10,204.0,205.0,161.0,163.0,19858
2022-05-11,158.0,168.2,141.0,142.0,7262
2022-05-12,130.0,157.0,130.0,145.0,6827
2022-05-13,150.0,173.0,145.0,164.0,6419
2022-05-16,160.0,169.89999,150.0,152.0,3167
2022-05-17,152.0,159.0,147.0,155.0,2431
2022-05-18,151.0,165.0,147.0,150.0,1450
2022-05-19,150.0,158.0,140.0,149.0,3263
2022-05-20,149.0,155.5,140.60001,149.0,1584
2022-05-23,152.0,161.0,146.0,154.0,2916
2022-05-24,157.0,160.0,140.0,143.0,1199
2022-05-25,141.0,152.0,141.0,148.0,1385
2022-05-26,147.0,157.0,147.0,155.0,1219
2022-05-27,155.0,163.60001,152.0,158.0,1388
2022-05-31,160.0,189.0,153.0,174.0,1988
2022-06-01,173.0,189.0,170.0,184.0,2074
2022-06-02,179.0,190.0,172.0,181.0,1028
2022-06-03,176.0,177.0,161.0,172.0,744
2022-06-06,175.0,175.0,141.2,151.0,2500
2022-06-07,156.0,160.0,149.0,154.0,898
2022-06-08,155.0,170.0,152.0,167.0,1749
2022-06-09,163.0,167.0,147.0,150.0,923
2022-06-10,146.0,153.0,146.0,150.0,633
2022-06-13,147.0,150.0,130.0,141.0,1402
2022-06-14,139.0,147.39999,126.0,144.0,762
2022-06-15,268.0,476.0,254.0,468.0,1044696
2022-06-16,760.0,922.0,678.0,763.0,880250
2022-06-17,637.0,724.0,528.0,616.0,172325
2022-06-21,675.0,718.0,501.0,544.0,181470
2022-06-22,512.0,527.0,405.0,450.0,55054
2022-06-23,444.0,528.0,400.0,430.0,86099
2022-06-24,420.0,458.0,390.0,410.0,30616
2022-06-27,413.0,456.0,389.0,428.0,22180
2022-06-28,424.0,473.0,393.0,396.0,18994
2022-06-29,394.0,396.0,350.0,366.0,9697
2022-06-30,372.0,372.0,324.0,330.0,7653
2022-07-01,344.0,344.0,308.0,310.0,6454
2022-07-05,304.0,345.0,300.0,344.0,14790
2022-07-06,334.0,373.0,317.0,362.0,12971
2022-07-07,358.0,380.0,350.0,355.0,4639
2022-07-08,352.0,363.0,331.10001,334.0,4274
2022-07-11,324.0,341.0,296.0,312.0,4345
2022-07-12,305.0,328.0,305.0,320.0,4250
2022-07-13,308.0,326.79999,306.0,309.0,2152
2022-07-14,305.0,314.70001,287.0,291.0,2968
2022-07-15,288.0,297.0,273.0,282.0,2762
2022-07-18,289.0,299.10001,278.20001,283.0,3163
2022-07-19,340.0,409.0,316.0,398.0,898130
2022-07-20,378.0,459.0,361.0,409.0,75654
2022-07-21,460.0,504.0,427.0,465.0,217758
2022-07-22,468.0,468.0,395.0,420.0,15063
2022-07-25,402.0,410.0,386.0,400.0,6249
2022-07-26,387.0,396.39999,338.0,348.0,7542
2022-07-27,345.0,352.0,333.0,345.0,3840
2022-07-28,343.0,364.0,340.0,358.0,4194
2022-07-29,360.0,364.0,326.0,353.0,4294
2022-08-01,349.0,358.0,326.0,329.0,2751
2022-08-02,320.0,357.89999,320.0,339.0,6106
2022-08-03,334.0,374.0,334.0,346.0,5634
2022-08-04,350.0,350.0,313.0,316.0,4503
2022-08-05,318.0,331.0,310.0,321.0,1697
2022-08-08,325.0,345.0,325.0,328.0,3155
2022-08-09,338.0,338.0,304.0,326.0,3720
2022-08-10,326.0,383.0,310.0,317.0,17912
2022-08-11,320.0,335.0,306.0,331.5,4432
2022-08-12,320.0,358.0,320.0,345.0,9286
2022-08-15,330.0,335.0,314.0,329.0,3444
2022-08-16,325.0,343.0,310.0,342.0,3594
2022-08-17,331.0,384.0,325.0,370.0,11895
2022-08-18,375.0,381.0,330.0,330.0,6967
2022-08-19,319.0,322.60001,300.0,303.0,4830
2022-08-22,304.0,305.0,272.0,274.0,3881
2022-08-23,282.0,286.0,259.0,271.0,4691
2022-08-24,271.0,283.0,264.0,280.0,2798
2022-08-25,281.0,299.0,276.0,294.0,2668
2022-08-26,290.0,301.0,273.0,282.0,2362
2022-08-29,287.0,290.0,268.0,269.0,1537
2022-08-30,269.0,272.0,250.0,262.0,1688
2022-08-31,270.0,275.0,261.0,273.0,1500
2022-09-01,274.0,275.0,251.0,267.0,1621
2022-09-02,268.0,282.0,260.0,280.0,1401
2022-09-06,274.0,280.0,264.0,266.0,853
2022-09-07,415.0,422.0,301.0,305.0,324559
2022-09-08,292.0,296.0,265.0,279.0,20487
2022-09-09,281.0,285.0,267.0,268.0,6135
2022-09-12,272.0,273.0,255.0,262.0,5356
2022-09-13,252.0,260.0,235.0,236.5,6278
2022-09-14,240.0,258.0,233.0,243.0,5653
2022-09-15,238.0,249.5,236.0,238.0,3212
2022-09-16,233.0,239.0,229.5,235.0,2894
2022-09-19,232.0,239.0,221.0,226.0,2740
2022-09-20,220.0,238.0,220.0,224.0,2289
2022-09-21,223.0,237.0,216.0,231.0,2975
2022-09-22,224.0,224.0,207.0,210.0,2004
2022-09-23,200.0,210.0,195.0,210.0,2564
2022-09-26,200.0,213.0,200.0,211.0,1294
2022-09-27,211.0,228.0,210.0,223.0,2145
2022-09-28,223.0,230.0,215.0,228.0,803
2022-09-29,219.0,226.0,208.0,213.0,628
2022-09-30,215.0,227.8,204.0,211.0,1050
2022-10-03,209.0,227.5,206.0,221.0,770
2022-10-04,225.5,242.0,218.0,219.0,4833
2022-10-05,223.0,231.0,205.0,210.0,2742
2022-10-06,217.0,230.0,211.0,224.0,1955
2022-10-07,223.0,223.0,206.0,210.0,2153
2022-10-10,213.0,213.0,197.0,199.0,1323
2022-10-11,201.0,205.0,195.0,199.0,1043
2022-10-12,209.0,209.0,190.0,197.0,1945
2022-10-13,193.0,216.0,192.0,207.0,1179
2022-10-14,210.0,210.0,193.0,201.0,797
2022-10-17,209.0,209.0,196.0,199.0,1457
2022-10-18,206.0,208.0,196.0,198.0,956
2022-10-19,197.0,200.5,184.0,185.0,1626
2022-10-20,194.0,195.0,184.0,186.0,1356
2022-10-21,185.0,197.0,182.0,188.0,1755
2022-10-24,189.0,189.0,171.0,173.0,3418
2022-10-25,171.0,185.0,169.0,181.0,2017
2022-10-26,185.0,185.0,175.0,179.0,1860
2022-10-27,181.0,189.0,173.0,176.0,2011
2022-10-28,185.0,185.0,172.0,180.0,1310
2022-10-31,178.0,181.0,168.0,174.0,1269
2022-11-01,172.0,175.0,170.0,174.0,681
2022-11-02,170.0,173.0,166.0,170.0,744
2022-11-03,170.0,171.0,162.0,166.0,964
2022-11-04,167.0,171.0,163.5,171.0,841
2022-11-07,172.0,175.0,168.2,172.0,506
2022-11-08,175.0,178.0,170.0,173.0,454
2022-11-09,173.0,173.0,156.0,160.0,926
2022-11-10,166.0,175.0,160.0,167.0,1458
2022-11-11,166.0,188.0,166.0,178.0,2272
2022-11-14,178.0,184.0,166.0,173.0,1254
2022-11-15,178.0,188.0,176.0,187.0,1599
2022-11-16,198.0,198.0,182.0,195.0,1386
2022-11-17,194.0,194.0,185.7,194.0,963
2022-11-18,195.0,206.0,186.0,200.5,898
2022-11-21,200.0,203.0,179.39999,183.0,1135
2022-11-22,182.0,190.0,182.0,188.0,223
2022-11-23,190.0,190.0,182.0,183.0,625
2022-11-25,190.0,190.0,176.3,177.0,234
2022-11-28,177.0,184.5,168.0,174.0,887
2022-11-29,178.0,180.0,167.5,169.0,793
2022-11-30,170.0,177.0,165.0,174.0,492
2022-12-01,171.0,175.0,167.0,168.0,597
2022-12-02,167.0,174.0,166.0,171.0,726
2022-12-05,174.0,174.0,160.0,163.0,723
2022-12-06,172.0,172.0,154.0,160.0,791
2022-12-07,157.0,160.0,152.0,155.0,903
2022-12-08,153.0,162.0,153.0,161.0,416
2022-12-09,156.0,165.0,156.0,164.0,648
2022-12-12,164.0,165.0,160.0,162.0,572
2022-12-13,159.0,167.0,151.0,155.0,1401
2022-12-14,158.0,158.0,147.0,147.0,1370
2022-12-15,150.0,152.0,140.0,140.0,1540
2022-12-16,140.0,145.0,127.0,129.0,1318
2022-12-19,133.0,133.0,114.0,117.0,1448
2022-12-20,119.0,127.0,116.0,116.0,1097
2022-12-21,116.0,122.0,109.0,115.0,2167
2022-12-22,111.0,118.9,110.0,110.0,1185
2022-12-23,110.0,111.8,95.8,98.2,3395
2022-12-27,100.0,102.0,93.0,94.8,1299
2022-12-28,98.0,102.0,94.0,99.0,4405
2022-12-29,98.0,106.0,97.5,103.0,3103
2022-12-30,102.0,110.0,98.0,109.0,1575
2023-01-03,113.0,116.0,100.0,102.0,3807
2023-01-04,103.0,109.0,96.0,101.0,2794
2023-01-05,104.0,104.0,96.0,101.0,3125
2023-01-06,102.0,102.5,96.099998,101.0,1399
2023-01-09,105.0,113.0,100.0,109.5,2849
2023-01-10,126.0,148.0,117.0,125.0,143573
2023-01-11,120.0,135.0,118.0,126.0,10010
2023-01-12,125.0,129.0,117.0,123.0,7623
2023-01-13,123.0,139.60001,120.0,134.0,6528
2023-01-17,121.0,122.0,114.0,115.0,7323
2023-01-18,115.0,119.0,108.0,110.0,6090
2023-01-19,107.0,114.0,101.0,110.0,3893
2023-01-20,109.0,112.0,103.5,110.0,3010
2023-01-23,112.0,117.0,105.0,108.0,4900
2023-01-24,111.0,111.0,105.0,106.0,3418
2023-01-25,111.0,122.0,111.0,117.0,5973
2023-01-26,118.0,118.0,111.0,116.0,2099
2023-01-27,114.0,117.0,102.0,106.0,8200
2023-01-30,105.0,105.0,87.0,89.0,17929
2023-01-31,38.3,44.0,37.5,41.0,217539
2023-02-01,40.5,40.5,38.5,39.5,42572
2023-02-02,41.5,42.0,39.9,40.2,43819
2023-02-03,47.0,58.0,44.8,51.6,405712
2023-02-06,51.5,53.5,47.0,52.8,76928
2023-02-07,56.5,70.0,56.0,68.8,211376
2023-02-08,65.3,72.0,56.0,62.0,82003
2023-02-09,59.0,59.2,49.099998,51.5,54179
2023-02-10,50.099998,56.0,48.0,53.0,30885
2023-02-13,56.7,56.8,52.5,55.0,21351
2023-02-14,55.3,59.5,53.6,58.3,27055
2023-02-15,77.8,80.2,61.4,63.6,493642
2023-02-16,62.0,70.8,60.5,68.9,60796
2023-02-17,66.0,79.0,66.0,75.0,64830
2023-02-21,74.3,81.0,71.0,78.3,42626
2023-02-22,82.7,84.6,67.0,76.0,207919
2023-02-23,74.0,75.0,63.7,66.3,45172
2023-02-24,65.0,68.0,57.5,62.0,23577
2023-02-27,59.099998,79.7,59.0,76.0,142264
2023-02-28,78.9,79.0,70.099998,75.7,73446
2023-03-01,76.0,104.0,72.5,87.8,310406
2023-03-02,88.0,99.0,82.0,90.4,68053
2023-03-03,87.0,89.9,84.0,87.5,27088
2023-03-06,85.5,90.0,68.0,76.0,70910
2023-03-07,73.5,75.0,69.0,70.6,19829
2023-03-08,81.3,83.0,72.0,75.0,115646
2023-03-09,75.0,76.7,67.2,69.4,38379
2023-03-10,69.0,74.5,59.2,71.5,33940
2023-03-13,65.0,70.0,64.0,68.6,14255
2023-03-14,66.9,70.9,66.0,68.4,11497
2023-03-15,66.6,66.6,62.099998,65.4,12401
2023-03-16,69.3,71.4,60.3,63.0,58548
2023-03-17,62.5,62.9,57.0,61.6,14166
2023-03-20,58.0,60.0,51.099998,52.3,19686
2023-03-21,55.0,60.099998,54.0,59.8,15662
2023-03-22,60.9,66.8,58.0,58.8,15772
2023-03-23,59.8,60.0,58.0,60.0,7155
2023-03-24,61.0,62.0,59.5,61.9,3955
2023-03-27,49.099998,56.6,49.099998,55.0,20440
2023-03-28,52.7,54.0,52.0,53.0,7062
2023-03-29,53.5,54.7,52.0,53.4,5748
2023-03-30,53.0,56.0,52.5,53.3,5551
2023-03-31,53.0,55.7,53.0,55.099998,5226
2023-04-03,56.9,56.9,51.099998,53.8,3737
2023-04-04,53.7,54.8,50.5,51.5,4701
2023-04-05,51.6,52.0,49.0,52.0,5984
2023-04-06,49.0,51.7,49.0,50.0,4642
2023-04-10,50.0,51.9,49.9,51.9,3431
2023-04-11,54.0,54.0,50.3,51.5,15140
2023-04-12,52.0,52.0,44.099998,44.3,18855
2023-04-13,46.0,48.099998,45.2,47.0,8128
2023-04-14,47.0,47.6,45.7,47.0,5326
2023-04-17,47.0,48.0,47.0,47.6,3438
2023-04-18,47.6,47.6,44.9,45.099998,5625
2023-04-19,41.0,43.6,40.6,41.7,10669
2023-04-20,41.3,41.3,37.2,37.5,34978
2023-04-21,26.0,28.5,25.1,28.0,83884
2023-04-24,27.9,28.2,24.6,24.6,35967
2023-04-25,25.3,25.6,24.0,24.5,15055
2023-04-26,25.2,25.5,24.1,24.6,16137
2023-04-27,25.0,26.0,24.5,24.9,12184
2023-04-28,25.0,25.3,21.6,24.7,19059
2023-05-01,24.0,25.0,23.0,23.1,8629
